date,state,fips,cases,newCases,deaths,newDeaths,tests,newTests,positive,newPositive,negative,newNegative
2021-01-13,Nebraska,31,180160,1470,1870,11,874109,2271,177670,1000,696439,1271
2021-01-13,Nevada,32,254043,943,3596,45,1255166,4836,253985,1143,1001181,3693
2021-01-13,New Hampshire,33,54125,977,885,7,565850,3002,54125,977,511725,2025
2021-01-13,New Jersey,34,602629,7878,20166,127,8477286,7880,602629,7880,7874657,0
2021-01-13,New Mexico,35,159119,1145,2809,13,159119,1145,159119,1145,,0
2021-01-13,New York,36,1179523,14704,39760,172,1169947,14577,1169947,14577,,0
2021-01-13,North Carolina,37,643520,5190,7796,109,641073,5098,641073,5098,,0
2021-01-13,North Dakota,38,95142,166,1364,1,385019,740,95135,167,289884,573
2021-01-13,Northern Mariana Islands,69,128,0,2,0,17557,0,128,0,17429,0
2021-01-13,Ohio,39,799639,6701,9881,79,799639,6701,799639,6701,,0
2021-01-13,Oklahoma,40,341364,3907,2848,44,2889390,25310,341364,3907,2548026,21403
2021-01-13,Oregon,41,129109,1318,1716,47,127780,1173,127780,1173,,0
2021-01-13,Pennsylvania,42,747245,8033,18458,367,4157761,21172,741389,7960,3416372,13212
2021-01-13,Puerto Rico,72,118254,212,1659,14,390611,212,84639,212,305972,0
2021-01-13,Rhode Island,44,102485,1092,1987,17,684208,4318,102485,1092,581723,3226
2021-01-13,South Carolina,45,365378,6021,5911,51,3535436,37248,365378,6021,3170058,31227
2021-01-13,South Dakota,46,104195,452,1604,19,387299,1917,104195,452,283104,1465
2021-01-13,Tennessee,47,653568,4341,8072,131,665499,4625,665499,4625,,0
2021-01-13,Texas,48,2042009,23324,31396,379,2022635,27343,2022635,27343,,0
2021-01-13,Utah,49,314817,5188,1449,27,1676322,9892,314817,5188,1361505,4704
2021-01-13,Vermont,50,9368,121,158,0,281278,867,9368,121,271910,746
2021-01-13,Virgin Islands,78,2166,0,24,0,37925,0,2166,0,35759,0
2021-01-13,Virginia,51,412545,4598,5552,75,412545,4598,412545,4598,,0
2021-01-13,Washington,53,285690,2327,3909,40,278544,1858,278544,1858,,0
2021-01-13,West Virginia,54,104392,1189,1671,37,104392,1189,104392,1189,,0
2021-01-13,Wisconsin,55,558020,2771,5679,44,2972893,8064,558020,2771,2414873,5293
2021-01-13,Wyoming,56,48289,217,522,0,210697,438,48289,217,162408,221
2021-01-14,Alabama,01,414583,3588,5945,185,2084545,10954,414583,3588,1669962,7366
2021-01-14,Alaska,02,50861,335,219,2,49535,332,49535,332,,0
2021-01-14,Arizona,04,653546,9863,10876,187,3188785,22169,649040,7311,2539745,14858
2021-01-14,Arkansas,05,264511,2491,4228,42,2284156,15176,264511,2491,2019645,12685
2021-01-14,California,06,2898652,40694,32246,593,2816969,35930,2816969,35930,,0
2021-01-14,Colorado,08,371362,2587,5385,31,2287631,8630,369177,2403,1918454,6227
2021-01-14,Connecticut,09,221544,968,6553,17,221544,968,221544,968,,0
2021-01-14,Delaware,10,68065,892,995,1,546399,3046,68065,892,478334,2154
2021-01-14,District of Columbia,11,32820,220,842,11,32820,220,32820,220,,0
2021-01-14,Florida,12,1531184,13720,23612,217,9391152,50816,1503529,13381,7887623,37435
2021-01-14,Georgia,13,766917,8924,11599,164,791324,9036,791324,9036,,0
2021-01-14,Guam,66,8426,13,125,0,100223,404,7457,13,92766,391
2021-01-14,Hawaii,15,23827,164,315,6,24434,175,24434,175,,0
2021-01-14,Idaho,16,153506,946,1593,17,596527,3277,152364,1091,444163,2186
2021-01-14,Illinois,17,1055550,6766,19728,109,1052682,6652,1052682,6652,,0
2021-01-14,Indiana,18,581534,4381,9202,39,2792291,12300,578494,4375,2213797,7925
2021-01-14,Iowa,19,302559,1398,4251,19,1208878,3656,254453,1146,954425,2510
2021-01-14,Kansas,20,255393,193,3355,0,1083932,0,252041,0,831891,0
2021-01-14,Kentucky,21,320466,3793,3373,49,317345,4063,317345,4063,,0
2021-01-14,Louisiana,22,361148,5313,8080,58,4563949,36091,361148,5313,4202801,30778
2021-01-14,Maine,23,31958,808,461,8,31958,808,31958,808,,0
2021-01-14,Maryland,24,318002,2947,6449,45,2997160,14731,317815,2948,2679345,11783
2021-01-14,Massachusetts,25,454402,5955,13433,74,4308517,22453,454402,5955,3854115,16498
2021-01-14,Michigan,26,575306,3668,14500,175,576573,3295,576573,3295,,0
2021-01-14,Minnesota,27,442003,1581,5885,43,3130235,8602,441935,1581,2688300,7021
2021-01-14,Mississippi,28,245847,1948,5356,41,1468773,1948,245847,1948,1222926,0
2021-01-14,Missouri,29,462318,2890,6590,52,2138524,7518,431957,2780,1706567,4738
2021-01-14,Montana,30,88190,431,1079,10,88110,457,88110,457,,0
2021-01-14,Nebraska,31,181091,931,1885,15,878807,4698,179199,1529,699608,3169
2021-01-14,Nevada,32,256463,2420,3664,68,1261591,6425,256172,2187,1005419,4238
2021-01-14,New Hampshire,33,54778,653,897,12,569601,3751,54778,653,514823,3098
2021-01-14,New Jersey,34,609721,7092,20253,87,8534237,56951,609721,7092,7924516,49859
2021-01-14,New Mexico,35,160543,1424,2838,29,160543,1424,160543,1424,,0
2021-01-14,New York,36,1193710,14187,39997,237,1183608,13661,1183608,13661,,0
2021-01-14,North Carolina,37,651533,8013,7888,92,650926,9853,650926,9853,,0
2021-01-14,North Dakota,38,95385,243,1372,8,386131,1112,95378,243,290753,869
2021-01-14,Northern Mariana Islands,69,128,0,2,0,17557,0,128,0,17429,0
2021-01-14,Ohio,39,807293,7654,9990,109,807293,7654,807293,7654,,0
2021-01-14,Oklahoma,40,344506,3142,2882,34,2908367,18977,344506,3142,2563861,15835
2021-01-14,Oregon,41,130246,1137,1737,21,129109,1329,129109,1329,,0
2021-01-14,Pennsylvania,42,754441,7196,18752,294,4176539,18778,748564,7175,3427975,11603
2021-01-14,Puerto Rico,72,118431,177,1679,20,390788,177,84816,177,305972,0
2021-01-14,Rhode Island,44,103386,901,1996,9,688576,4368,103386,901,585190,3467
2021-01-14,South Carolina,45,371180,5802,5934,23,3576120,40684,371180,5802,3204940,34882
2021-01-14,South Dakota,46,104512,317,1614,10,388172,873,104512,317,283660,556
2021-01-14,Tennessee,47,658431,4863,8155,83,670482,4983,670482,4983,,0
2021-01-14,Texas,48,2071932,29923,31819,423,2045699,23064,2045699,23064,,0
2021-01-14,Utah,49,317559,2742,1461,12,1684338,8016,317559,2742,1366779,5274
2021-01-14,Vermont,50,9573,205,162,4,282765,1487,9573,205,273192,1282
2021-01-14,Virgin Islands,78,2166,0,24,0,37925,0,2166,0,35759,0
2021-01-14,Virginia,51,417839,5294,5626,74,417839,5294,417839,5294,,0
2021-01-14,Washington,53,288127,2437,3949,40,281202,2658,281202,2658,,0
2021-01-14,West Virginia,54,105219,827,1702,31,105219,827,105219,827,,0
2021-01-14,Wisconsin,55,561160,3140,5729,50,2983020,10127,561160,3140,2421860,6987
2021-01-14,Wyoming,56,48701,412,522,0,211329,632,48701,412,162628,220
2021-01-15,Alabama,01,417528,2945,6030,85,2097656,13111,417528,2945,1680128,10166
2021-01-15,Alaska,02,51163,302,220,1,49835,300,49835,300,,0
2021-01-15,Arizona,04,662597,9051,11060,184,3210314,21529,658186,9146,2552128,12383
2021-01-15,Arkansas,05,267635,3124,4263,35,2299908,15752,267635,3124,2032273,12628
2021-01-15,California,06,2937755,39103,32947,701,2859624,42655,2859624,42655,,0
2021-01-15,Colorado,08,373647,2285,5417,32,2296682,9051,371458,2281,1925224,6770
2021-01-15,Connecticut,09,223422,1878,6594,41,223422,1878,223422,1878,,0
2021-01-15,Delaware,10,68727,662,1002,7,548993,2594,68727,662,480266,1932
2021-01-15,District of Columbia,11,33140,320,842,0,33140,320,33140,320,,0
2021-01-15,Florida,12,1548059,16875,23798,186,9447366,56214,1519944,16415,7927422,39799
2021-01-15,Georgia,13,776485,9568,11757,158,801130,9806,801130,9806,,0
2021-01-15,Guam,66,8443,17,126,1,100467,244,7474,17,92993,227
2021-01-15,Hawaii,15,24032,205,315,0,24584,150,24584,150,,0
2021-01-15,Idaho,16,154785,1279,1606,13,599420,2893,153358,994,446062,1899
2021-01-15,Illinois,17,1062121,6571,19876,148,1059324,6642,1059324,6642,,0
2021-01-15,Indiana,18,586206,4672,9246,44,2806743,14452,583160,4666,2223583,9786
2021-01-15,Iowa,19,303927,1368,4257,6,1212121,3243,255488,1035,956633,2208
2021-01-15,Kansas,20,259196,3803,3514,159,1100365,16433,256134,4093,844231,12340
2021-01-15,Kentucky,21,324505,4039,3395,22,321270,3925,321270,3925,,0
2021-01-15,Louisiana,22,364853,3705,8080,0,4593428,29479,364853,3705,4228575,25774
2021-01-15,Maine,23,32781,823,477,16,32781,823,32781,823,,0
2021-01-15,Maryland,24,320923,2921,6494,45,3012412,15252,320739,2924,2691673,12328
2021-01-15,Massachusetts,25,459927,5525,13509,76,4330578,22061,459927,5525,3870651,16536
